"","rn","Estimate","Est.Error","Q2.5","Q97.5"
"1568","MMTLexus LX:MY2020:MileGrpATC1","-3.96182303539473e-10","4.00693765748227e-07","-7.97538475e-07","8.06176275e-07"
"1569","MMTLexus LX:MY2020:MileGrpATC2","3.14209448605785e-09","3.80016865311748e-07","-7.6340815e-07","7.68252574999999e-07"
"1570","MMTLexus LX:MY2020:MileGrpATC3","0",".",".","."
"1571","MMTLexus NX","0.0277724212162281","0.00696897201849231","0.0141832825","0.04136112"
"1572","MMTLexus NX:MY2018","-0.0277888133854781","0.00986584738247495","-0.0470194575","-0.00852966200000002"
"1573","MMTLexus NX:MY2018:MileGrpATC1","8.9116141534693e-05","0.00883808370031566","-0.017265495","0.0174399725"
"1574","MMTLexus NX:MY2018:MileGrpATC2","2.94601054859649e-05","0.00851133556367465","-0.016612645","0.016614425"
"1575","MMTLexus NX:MY2018:MileGrpATC3","0",".",".","."
"1576","MMTLexus NX:MY2019","-0.0277888356494912","0.00906743280750047","-0.045507985","-0.01004458"
"1577","MMTLexus NX:MY2019:MileGrpATC1","-1.24586784435965e-05","0.00801665147905803","-0.0156752025","0.0158129325"
"1578","MMTLexus NX:MY2019:MileGrpATC2","5.01310682610088e-05","0.00737947236056733","-0.0144740325","0.01453777"
"1579","MMTLexus NX:MY2019:MileGrpATC3","0",".",".","."
"1580","MMTLexus NX:MY2020","0",".",".","."
"1581","MMTLexus NX:MY2020:MileGrpATC1","-0.0277248460472368","0.00843183612802902","-0.0440497175","-0.0110738425"
"1582","MMTLexus NX:MY2020:MileGrpATC2","-0.0277828077599474","0.00848076277400433","-0.04434114","-0.01145517"
"1583","MMTLexus NX:MY2020:MileGrpATC3","0",".",".","."
"1584","MMTLexus RX/Lexus RX Hybrid/RX L","1.08266932064474e-05","0.00696208877391287","-0.0133965125","0.0137725975"
"1585","MMTLexus RX/Lexus RX Hybrid/RX L:MY2018","4.81226973020614e-05","0.00930457555388155","-0.018358955","0.01824485"
"1586","MMTLexus RX/Lexus RX Hybrid/RX L:MY2018:MileGrpATC1","0.00493499966097145","0.00763069339347073","-0.01011023","0.0199127625"
"1587","MMTLexus RX/Lexus RX Hybrid/RX L:MY2018:MileGrpATC2","0.0119589406937524","0.00741732291429664","-0.00231480575","0.026502405"
"1588","MMTLexus RX/Lexus RX Hybrid/RX L:MY2018:MileGrpATC3","0",".",".","."
"1589","MMTLexus RX/Lexus RX Hybrid/RX L:MY2019","1.9980033004693e-05","0.00909591615770081","-0.0176956075","0.017738445"
"1590","MMTLexus RX/Lexus RX Hybrid/RX L:MY2019:MileGrpATC1","0.0111372468497496","0.0075070174229112","-0.0035397315","0.0258186025"
"1591","MMTLexus RX/Lexus RX Hybrid/RX L:MY2019:MileGrpATC2","3.39578387025439e-06","0.00727803019672356","-0.0142464075","0.01441173"
"1592","MMTLexus RX/Lexus RX Hybrid/RX L:MY2019:MileGrpATC3","0",".",".","."
"1593","MMTLexus RX/Lexus RX Hybrid/RX L:MY2020","0",".",".","."
"1594","MMTLexus RX/Lexus RX Hybrid/RX L:MY2020:MileGrpATC1","-2.06411046047368e-05","0.00844321063762064","-0.01675292","0.01642725"
"1595","MMTLexus RX/Lexus RX Hybrid/RX L:MY2020:MileGrpATC2","-9.28477959649127e-07","0.00862798619110877","-0.016830635","0.0167142025"
"1596","MMTLexus RX/Lexus RX Hybrid/RX L:MY2020:MileGrpATC3","0",".",".","."
"1597","MMTLexus UX","0.19904076754386","0.0406386869484364","0.1194085","0.278405275"
"1598","MMTLexus UX:MY2019","-0.199217592418421","0.0530308583455175","-0.304941075","-0.0953198325"
"1599","MMTLexus UX:MY2019:MileGrpATC1","0.000187117189177193","0.0373126532558923","-0.0734575775","0.0728381924999999"
"1600","MMTLexus UX:MY2019:MileGrpATC2","0.000104195445074561","0.0385999860476535","-0.0758437925","0.075478975"
"1601","MMTLexus UX:MY2019:MileGrpATC3","0",".",".","."
"1602","MMTLexus UX:MY2020","0",".",".","."
"1603","MMTLexus UX:MY2020:MileGrpATC1","-0.199058435921491","0.0454866984611721","-0.288210925","-0.1108479"
"1604","MMTLexus UX:MY2020:MileGrpATC2","-0.199029499952632","0.0477441849015476","-0.2928192","-0.1053129"
"1605","MMTLexus UX:MY2020:MileGrpATC3","0",".",".","."
"1606","MMTLincoln Aviator","0.0498814808382811","0.0385807880292302","-0.0269542775","0.1251203"
"1607","MMTLincoln Aviator:MY2020","0",".",".","."
"1608","MMTLincoln Aviator:MY2020:MileGrpATC1","0.000204932902450877","0.0546228878212576","-0.105631025","0.107297475"
"1609","MMTLincoln Aviator:MY2020:MileGrpATC2","-0.0499949606587899","0.0499094468309878","-0.14855365","0.0489104749999999"
"1610","MMTLincoln Aviator:MY2020:MileGrpATC3","0",".",".","."
"1611","MMTLincoln Continental","0.000524515067026754","0.084395429227966","-0.164238025","0.16584995"
"1612","MMTLincoln Continental:MY2018","-0.000462805539591228","0.0907617980778804","-0.17963425","0.17792655"
"1613","MMTLincoln Continental:MY2018:MileGrpATC1","-0.000134299858139035","0.0466925085934929","-0.0916757675","0.0916909549999999"
"1614","MMTLincoln Continental:MY2018:MileGrpATC2","0",".",".","."
"1615","MMTLincoln Continental:MY2019","0.000176867440085088","0.103980319838645","-0.204667125","0.203847375"
"1616","MMTLincoln Continental:MY2019:MileGrpATC1","-0.000674454807617105","0.0739352208623348","-0.1467643","0.14354265"
"1617","MMTLincoln Continental:MY2019:MileGrpATC2","0.153329506981592","0.074112825733982","0.0082081635","0.2987093"
"1618","MMTLincoln Continental:MY2019:MileGrpATC3","0",".",".","."
"1619","MMTLincoln Continental:MY2020","0",".",".","."
"1620","MMTLincoln Continental:MY2020:MileGrpATC1","-0.000884830072648246","0.113515384741052","-0.22478575","0.21989545"
"1621","MMTLincoln Continental:MY2020:MileGrpATC2","-0.000589943951114035","0.120786691611643","-0.240661025","0.23441395"
"1622","MMTLincoln Continental:MY2020:MileGrpATC3","0",".",".","."
"1623","MMTLincoln Corsair","-1.61590193515965e-09","1.4684269298807e-07","-3.02249275e-07","2.9241465e-07"
"1624","MMTLincoln Corsair:MY2020","0",".",".","."
"1625","MMTLincoln Corsair:MY2020:MileGrpATC1","6.63938191710527e-10","1.64159515795037e-07","-3.2412535e-07","3.32648049999999e-07"
"1626","MMTLincoln Corsair:MY2020:MileGrpATC2","2.21482587668421e-09","1.64842430219911e-07","-3.277885e-07","3.371764e-07"
"1627","MMTLincoln Corsair:MY2020:MileGrpATC3","0",".",".","."
"1628","MMTLincoln MKC","2.54197505922368e-10","1.43000584275449e-07","-2.90157025e-07","2.89529449999999e-07"
"1629","MMTLincoln MKC:MY2018","6.7340762475e-10","2.45354922946663e-07","-5.0108705e-07","5.04154924999999e-07"
"1630","MMTLincoln MKC:MY2018:MileGrpATC1","-5.70768462990351e-10","2.48128957481263e-07","-5.06503225e-07","5.024544e-07"
"1631","MMTLincoln MKC:MY2018:MileGrpATC2","-2.61826592408333e-09","2.87593905489558e-07","-5.90723375e-07","5.87544724999999e-07"
"1632","MMTLincoln MKC:MY2018:MileGrpATC3","0",".",".","."
"1633","MMTLincoln MKC:MY2019","0",".",".","."
"1634","MMTLincoln MKC:MY2019:MileGrpATC1","-4.51308464877193e-10","1.74956868255331e-07","-3.586699e-07","3.5540705e-07"
"1635","MMTLincoln MKC:MY2019:MileGrpATC2","1.13171183950746e-09","1.80952252047788e-07","-3.6503295e-07","3.69461574999999e-07"
"1636","MMTLincoln MKC:MY2019:MileGrpATC3","0",".",".","."
"1637","MMTLincoln MKX","-0.000201127248171447","0.026775469493492","-0.05247651","0.0525316025"
"1638","MMTLincoln MKX:MY2018","0",".",".","."
"1639","MMTLincoln MKX:MY2018:MileGrpATC1","0.000162010074439474","0.0347014359487287","-0.0682208925","0.0681839825"
"1640","MMTLincoln MKX:MY2018:MileGrpATC2","0.0224376567214563","0.0314595059082922","-0.039573945","0.08350615"
"1641","MMTLincoln MKX:MY2018:MileGrpATC3","0",".",".","."
"1642","MMTLincoln MKZ/Lincoln MKZ Hybrid","3.84089974776754e-09","4.57855138400842e-07","-9.241741e-07","9.20383075e-07"
"1643","MMTLincoln MKZ/Lincoln MKZ Hybrid:MY2018","-4.31914997189912e-09","5.30965620964024e-07","-1.07713825e-06","1.060059e-06"
