"","MMT","MY","MY_prob_rate"
"339","Kia Sportage","2019",0.0189035087719298
"340","Kia Sportage","2020",0.00064327485380117
"341","Kia Stinger","2018",0
"342","Kia Stinger","2019",0.0245760233918129
"343","Kia Stinger","2020",0.0107163742690058
"344","Kia Telluride","2020",0.00198830409356725
"345","Lexus ES/Lexus ES Hybrid","2018",0.00345029239766082
"346","Lexus ES/Lexus ES Hybrid","2019",0
"347","Lexus ES/Lexus ES Hybrid","2020",0.00166666666666667
"348","Lexus GS","2018",0
"349","Lexus GS","2019",0
"350","Lexus GS","2020",0
"351","Lexus GX","2018",0.0122222222222222
"352","Lexus GX","2019",0
"353","Lexus GX","2020",0.00366959064327485
"354","Lexus IS","2018",0
"355","Lexus IS","2019",0
"356","Lexus IS","2020",0
"357","Lexus LS","2018",0
"358","Lexus LS","2019",0
"359","Lexus LS","2020",0
"360","Lexus LX","2018",0
"361","Lexus LX","2019",0
"362","Lexus LX","2020",0
"363","Lexus NX","2018",0
"364","Lexus NX","2019",0
"365","Lexus NX","2020",0.00891812865497076
"366","Lexus RX/Lexus RX Hybrid/RX L","2018",0.00577485380116959
"367","Lexus RX/Lexus RX Hybrid/RX L","2019",0.00403508771929825
"368","Lexus RX/Lexus RX Hybrid/RX L","2020",0.000467836257309941
"369","Lexus UX","2019",0
"370","Lexus UX","2020",0.0647953216374269
"371","Lincoln Aviator","2020",0.0333333333333333
"372","Lincoln Continental","2018",0
"373","Lincoln Continental","2019",0.0529385964912281
"374","Lincoln Continental","2020",0.00755847953216374
"375","Lincoln Corsair","2020",0
"376","Lincoln MKC","2018",0
"377","Lincoln MKC","2019",0
"378","Lincoln MKX","2018",0.00912280701754386
"379","Lincoln MKZ/Lincoln MKZ Hybrid","2018",0
"380","Lincoln MKZ/Lincoln MKZ Hybrid","2019",0
"381","Lincoln MKZ/Lincoln MKZ Hybrid","2020",0
"382","Lincoln Nautilus","2019",0.00808479532163743
"383","Lincoln Nautilus","2020",0.0035672514619883
"384","Lincoln Navigator","2018",0
"385","Lincoln Navigator","2019",0.0257894736842105
"386","Lincoln Navigator","2020",0.0118713450292398
"387","Mazda 3","2018",0.0105116959064327
"388","Mazda 3","2019",0.0193859649122807
"389","Mazda 3","2020",0.00517543859649123
"390","Mazda 6","2018",0
"391","Mazda 6","2019",0
"392","Mazda 6","2020",0
"393","Mazda CX-3","2018",0
"394","Mazda CX-3","2019",0
"395","Mazda CX-3","2020",0
"396","Mazda CX-30","2020",0
"397","Mazda CX-5","2018",0
"398","Mazda CX-5","2019",0.00425438596491228
"399","Mazda CX-5","2020",0.00482456140350877
"400","Mazda CX-9","2018",0.0102485380116959
"401","Mazda CX-9","2019",0
"402","Mazda CX-9","2020",0.00460526315789474
"403","Mazda MX-5 Miata","2018",0
"404","Mazda MX-5 Miata","2019",0
"405","Mazda MX-5 Miata","2020",0
"406","Mercedes-Benz C-Class","2018",0.0144298245614035
"407","Mercedes-Benz C-Class","2019",0.0228801169590643
"408","Mercedes-Benz C-Class","2020",0.00633040935672515
"409","Mercedes-Benz E-Class","2018",0.0416812865497076
"410","Mercedes-Benz E-Class","2019",0.0269590643274854
"411","Mercedes-Benz E-Class","2020",0.00589181286549708
"412","Mercedes-Benz GLA","2018",0
"413","Mercedes-Benz GLA","2019",0
"414","Mercedes-Benz GLA","2020",0
"415","Mercedes-Benz GLC","2018",0.00624269005847953
"416","Mercedes-Benz GLC","2019",0
"417","Mercedes-Benz GLC","2020",0.0014766081871345
"418","Mercedes-Benz GLE","2018",0
"419","Mercedes-Benz GLE","2019",0
"420","Mercedes-Benz GLE","2020",0.00700292397660819
"421","Mercedes-Benz GLS","2018",0
"422","Mercedes-Benz GLS","2019",0.0312865497076023
"423","Mercedes-Benz GLS","2020",0.00390350877192982
"424","Mercedes-Benz S-Class","2018",0.0253801169590643
"425","Mercedes-Benz S-Class","2019",0
"426","Mercedes-Benz S-Class","2020",0.0114035087719298
"427","Mercedes-Benz Sprinter","2018",0.0356140350877193
"428","Mercedes-Benz Sprinter","2019",0
"429","Mercedes-Benz Sprinter","2020",0.0365350877192982
"430","Mini Cooper Countryman","2018",0
"431","Mini Cooper Countryman","2019",0.0156140350877193
"432","Mini Cooper Countryman","2020",0.00597953216374269
"433","Mini Cooper/Mini Clubman","2018",0.0318713450292398
"434","Mini Cooper/Mini Clubman","2019",0
"435","Mini Cooper/Mini Clubman","2020",0.041374269005848
"436","Mitsubishi Outlander","2018",0
"437","Mitsubishi Outlander","2019",0.037266081871345
"438","Mitsubishi Outlander","2020",0.0280043859649123
"439","Nissan Altima","2018",0
"440","Nissan Altima","2019",0.0235233918128655
"441","Nissan Altima","2020",0.00213450292397661
"442","Nissan Armada","2018",0
"443","Nissan Armada","2019",0
"444","Nissan Armada","2020",0
"445","Nissan Frontier","2018",0.011140350877193
"446","Nissan Frontier","2019",0
"447","Nissan Frontier","2020",0.0835964912280702
"448","Nissan Kicks","2018",0.102646198830409
"449","Nissan Kicks","2019",0
"450","Nissan Kicks","2020",0.0330409356725146
"451","Nissan Leaf","2018",0.0103654970760234
"452","Nissan Leaf","2019",0.0131140350877193
