"","rn","Estimate","Est.Error","Q2.5","Q97.5"
"653","MMTChevrolet Volt","-1e+13","0","-1e+13","-1e+13"
"654","MMTChevrolet Volt:MY2018","-1e+13","0","-1e+13","-1e+13"
"655","MMTChevrolet Volt:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"656","MMTChevrolet Volt:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"657","MMTChevrolet Volt:MY2018:MileGrpATC3","0",".",".","."
"658","MMTChevrolet Volt:MY2019","0",".",".","."
"659","MMTChevrolet Volt:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"660","MMTChevrolet Volt:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"661","MMTChevrolet Volt:MY2019:MileGrpATC3","0",".",".","."
"662","MMTGMC Acadia/Saturn Outlook","-1e+13","0","-1e+13","-1e+13"
"663","MMTGMC Acadia/Saturn Outlook:MY2018","-1e+13","0","-1e+13","-1e+13"
"664","MMTGMC Acadia/Saturn Outlook:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"665","MMTGMC Acadia/Saturn Outlook:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"666","MMTGMC Acadia/Saturn Outlook:MY2018:MileGrpATC3","0",".",".","."
"667","MMTGMC Acadia/Saturn Outlook:MY2019","-1e+13","0","-1e+13","-1e+13"
"668","MMTGMC Acadia/Saturn Outlook:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"669","MMTGMC Acadia/Saturn Outlook:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"670","MMTGMC Acadia/Saturn Outlook:MY2019:MileGrpATC3","0",".",".","."
"671","MMTGMC Acadia/Saturn Outlook:MY2020","0",".",".","."
"672","MMTGMC Acadia/Saturn Outlook:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"673","MMTGMC Acadia/Saturn Outlook:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"674","MMTGMC Acadia/Saturn Outlook:MY2020:MileGrpATC3","0",".",".","."
"675","MMTChrysler 300","-1e+13","0","-1e+13","-1e+13"
"676","MMTChrysler 300:MY2018","-1e+13","0","-1e+13","-1e+13"
