"","MMT","MY","MileGrpATC","prob"
"235","Buick Enclave","2020","3","1.48956563826887e-13"
"236","Buick Encore","2018","1","3.74499608815627e-14"
"237","Buick Encore","2018","2","3.72537614613877e-14"
"238","Buick Encore","2018","3","3.63304510719679e-14"
"239","Buick Encore","2019","1","4.01920068072904e-14"
"240","Buick Encore","2019","2","4.03100009427226e-14"
"241","Buick Encore","2019","3","4.01721881566842e-14"
"242","Buick Encore","2020","1","3.87260297794747e-14"
"243","Buick Encore","2020","2","3.91929786700064e-14"
"244","Buick Encore","2020","3","4.04412111024774e-14"
"245","Buick Envision","2018","1","3.92706505272554e-14"
"246","Buick Envision","2018","2","4.0002110711948e-14"
"247","Buick Envision","2018","3","3.91372729408902e-14"
"248","Buick Envision","2019","1","3.17393468050377e-14"
"249","Buick Envision","2019","2","0.0322580645161487"
"250","Buick Envision","2019","3","3.63766807175093e-14"
"251","Buick Envision","2020","1","3.67238343172866e-14"
"252","Buick Envision","2020","2","3.78565777095316e-14"
"253","Buick Envision","2020","3","3.80438838263145e-14"
"254","Buick LaCrosse","2018","1","-1.95339334443675e-15"
"255","Buick LaCrosse","2018","2","-1.72485572528624e-15"
"256","Buick LaCrosse","2018","3","-1.68807899660459e-15"
"257","Buick LaCrosse","2019","1","-3.58357601836779e-15"
"258","Buick LaCrosse","2019","2","-3.77824621956377e-15"
"259","Buick LaCrosse","2019","3","-3.77674290428976e-15"
"260","Buick Regal/Buick Regal TourX","2018","1","0.0277777777777925"
"261","Buick Regal/Buick Regal TourX","2018","2","5.47279524831805e-15"
"262","Buick Regal/Buick Regal TourX","2018","3","5.7190165919464e-15"
"263","Buick Regal/Buick Regal TourX","2019","1","1.8347705924357e-14"
"264","Buick Regal/Buick Regal TourX","2019","2","1.84294047540135e-14"
"265","Buick Regal/Buick Regal TourX","2019","3","1.84149529102947e-14"
"266","Buick Regal/Buick Regal TourX","2020","1","1.66644824003456e-14"
"267","Buick Regal/Buick Regal TourX","2020","2","1.76533111632389e-14"
"268","Buick Regal/Buick Regal TourX","2020","3","1.78117433535409e-14"
"269","Cadillac CT6","2018","1","0.0769230769233004"
"270","Cadillac CT6","2018","2","0.0625000000002298"
"271","Cadillac CT6","2018","3","2.54987168189553e-13"
"272","Cadillac CT6","2019","1","2.10917559464758e-13"
"273","Cadillac CT6","2019","2","2.1049149523874e-13"
"274","Cadillac CT6","2019","3","2.10478947251464e-13"
"275","Cadillac CT6","2020","1","0.250000000000219"
"276","Cadillac CT6","2020","2","1.76450631857677e-13"
"277","Cadillac CT6","2020","3","1.76347311546594e-13"
"278","Cadillac Escalade","2018","1","2.38689694974304e-15"
"279","Cadillac Escalade","2018","2","3.37469603946492e-15"
"280","Cadillac Escalade","2018","3","3.0178549027397e-15"
"281","Cadillac Escalade","2019","1","3.81135497008503e-15"
"282","Cadillac Escalade","2019","2","3.52606302849243e-15"
"283","Cadillac Escalade","2019","3","3.54912613981796e-15"
"284","Cadillac Escalade","2020","2","2.517225849624e-15"
"285","Cadillac Escalade","2020","3","2.47132372018544e-15"
"286","Cadillac XT4","2019","1","-1.12708453681165e-13"
