"MMT","MY","MileGrpATC","prob_rate"
"Chevrolet Cruze",2018,3,0.0130197982704893
"Chevrolet Cruze",2019,1,0.0114382460386191
"Chevrolet Cruze",2019,2,0.0108966812692202
"Chevrolet Cruze",2019,3,0.0115779095710865
"Chevrolet Equinox/GMC Terrain/Pontiac Torrent",2018,1,0.00621400273135012
"Chevrolet Equinox/GMC Terrain/Pontiac Torrent",2018,2,0.00687167522876854
"Chevrolet Equinox/GMC Terrain/Pontiac Torrent",2018,3,0.0121395757767331
"Chevrolet Equinox/GMC Terrain/Pontiac Torrent",2019,1,0.00244264627507167
"Chevrolet Equinox/GMC Terrain/Pontiac Torrent",2019,2,0.00783854170278592
"Chevrolet Equinox/GMC Terrain/Pontiac Torrent",2019,3,0.00559300032908602
"Chevrolet Equinox/GMC Terrain/Pontiac Torrent",2020,1,0.00168896207332074
"Chevrolet Equinox/GMC Terrain/Pontiac Torrent",2020,2,0.00169355181962823
"Chevrolet Equinox/GMC Terrain/Pontiac Torrent",2020,3,0.00190987914493405
"Chevrolet Impala",2018,1,0.00393249550562637
"Chevrolet Impala",2018,2,0.00413563007166464
"Chevrolet Impala",2018,3,0.00321025540808704
"Chevrolet Impala",2019,1,0.00409765974791763
"Chevrolet Impala",2019,2,0.00430642901541001
"Chevrolet Impala",2019,3,0.0042941192397579
"Chevrolet Impala",2020,1,0.0123029426969511
"Chevrolet Impala",2020,2,0.010837742622475
"Chevrolet Impala",2020,3,0.0130802348025388
"Chevrolet Malibu",2018,1,0.00421189404081684
"Chevrolet Malibu",2018,2,0.00445909884247551
"Chevrolet Malibu",2018,3,0.00503166091626643
"Chevrolet Malibu",2019,1,0.00656868934058326
"Chevrolet Malibu",2019,2,0.00761956113043469
"Chevrolet Malibu",2019,3,0.00831702008527767
"Chevrolet Malibu",2020,1,0.00935108492529183
"Chevrolet Malibu",2020,2,0.00855248682912114
"Chevrolet Malibu",2020,3,0.0102427610639026
"Chevrolet Silverado 1500 LD/GMC Sierra 1500 Limited",2019,1,0.0132315189825601
"Chevrolet Silverado 1500 LD/GMC Sierra 1500 Limited",2019,2,0.0055849556744273
